YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2019,2019,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.32,0.32,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2019,2019,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,2.28,2.28,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2019,2019,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.16,0.16,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2012,2012,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.20,0.2,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2015,2015,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,3.30,3.3,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2019,2019,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.08,0.08,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2015,2015,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.20,0.2,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.16,0.16,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2019,2019,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.20,0.2,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2012,2012,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,2.28,2.28,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2017,2017,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.32,0.32,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2019,2019,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,3.30,3.3,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2012,2012,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.84,0.84,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2019,2019,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.84,0.84,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2019,2019,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.20,0.2,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.08,0.08,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2012,2012,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,3.30,3.3,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2019,2019,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,3.00,3,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2012,2012,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.16,0.16,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2015,2015,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,2.28,2.28,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2015,2015,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.32,0.32,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2017,2017,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,3.00,3,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2015,2015,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.08,0.08,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.84,0.84,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2017,2017,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.20,0.2,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2017,2017,CT,Connecticut,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.72,0.72,,,,,Overall,Overall,,,,,POINT (-72.64984095199964 41.56266102000046),,09,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2015,2015,CT,Connecticut,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.24,0.24,,,,,Overall,Overall,,,,,POINT (-72.64984095199964 41.56266102000046),,09,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2015,2015,DC,District of Columbia,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,1.50,1.5,,,,,Overall,Overall,,,,,POINT (-77.036871 38.907192),,11,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2017,2017,DC,District of Columbia,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.09,0.09,,,,,Overall,Overall,,,,,POINT (-77.036871 38.907192),,11,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,CT,Connecticut,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,5.40,5.4,,,,,Overall,Overall,,,,,POINT (-72.64984095199964 41.56266102000046),,09,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2017,2017,DC,District of Columbia,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.30,0.3,,,,,Overall,Overall,,,,,POINT (-77.036871 38.907192),,11,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2012,2012,DC,District of Columbia,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,1.50,1.5,,,,,Overall,Overall,,,,,POINT (-77.036871 38.907192),,11,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2017,2017,CT,Connecticut,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.24,0.24,,,,,Overall,Overall,,,,,POINT (-72.64984095199964 41.56266102000046),,09,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
